LINK_DIR,MEAN_x,SPDLIMIT_x,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_y,SPDLIMIT_y,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN,SPDLIMIT,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend
111989989T,29.55,44.734,40.384,11.805,14540,13.832,10.943,29.248,44.734,39.763,11.183,12676,16.864,10.782,31.605,44.734,43.491,1864,6.223,11.78
111990715T,30.719,44.734,41.006,13.669,18709,17.798,10.31,30.403,44.734,41.006,13.669,15958,21.23,10.255,32.552,44.734,42.87,2751,9.185,10.437
111990717F,28.481,44.734,39.142,11.183,17393,16.546,10.241,28.197,44.734,38.521,11.183,14851,19.757,10.219,30.139,44.734,40.384,2542,8.487,10.214
111990719T,35.426,44.734,45.169,19.26,18788,17.873,9.651,35.022,44.734,44.734,18.639,16021,21.314,9.604,37.77,44.734,47.219,2767,9.238,9.59
111990720F,33.135,44.734,42.248,19.26,17623,16.765,8.989,32.608,44.734,41.627,18.639,15062,20.038,8.854,36.235,44.734,45.976,2561,8.55,9.149
111990747T,43.014,44.734,49.083,30.444,14242,13.548,7.048,42.955,44.734,49.083,29.822,12454,16.568,7.045,43.425,44.734,50.325,1788,5.97,7.058
111990748T,41.054,44.734,48.461,24.852,14392,13.691,8.464,40.96,44.734,48.461,24.852,12581,16.737,8.454,41.705,44.734,49.704,1811,6.046,8.51
111996193T,26.279,44.734,37.278,8.698,15889,15.115,10.877,26.233,44.734,37.278,8.698,13705,18.232,10.814,26.569,44.734,37.899,2184,7.292,11.266
111999150F,31.171,44.734,42.87,11.805,14766,14.047,11.339,31.25,44.734,42.87,11.805,12827,17.064,11.378,30.649,44.734,42.248,1939,6.474,11.062
111999151F,31.796,44.734,41.627,15.532,18324,17.432,9.676,31.363,44.734,41.006,15.532,15668,20.844,9.66,34.35,44.734,43.305,2656,8.868,9.37
23308158T,34.467,44.734,45.976,12.426,13107,12.469,12.16,34.624,44.734,45.976,12.426,11499,15.298,11.966,33.338,44.734,46.598,1608,5.369,13.418
23320268F,26.426,49.704,41.006,6.834,7828,7.447,13.001,26.527,49.704,41.006,6.834,6729,8.952,13.144,25.807,49.704,39.453,1099,3.669,12.076
23320270T,34.315,49.704,44.734,14.911,7082,6.737,10.892,34.266,49.704,44.734,14.787,6113,8.132,10.965,34.622,49.704,44.734,969,3.235,10.423
23320380F,33.08,44.734,42.87,16.775,4645,4.419,9.849,32.931,44.734,42.248,16.775,4058,5.399,9.518,34.112,44.734,45.976,587,1.96,11.847
23320387F,32.974,44.734,42.87,14.911,5622,5.348,10.603,32.95,44.734,42.248,16.154,4771,6.347,10.202,33.112,44.734,44.734,851,2.841,12.621
23320398F,35.852,44.734,45.355,18.639,7823,7.442,9.859,35.15,44.734,44.734,18.018,6469,8.606,9.826,39.207,44.734,47.219,1354,4.521,9.318
23320410T,31.842,44.734,42.87,14.29,6121,5.823,10.87,31.107,44.734,42.248,14.29,5211,6.932,10.696,36.051,44.734,45.976,910,3.038,10.905
23320414F,36.947,44.734,47.219,18.639,7918,7.532,10.55,36.067,44.734,46.598,18.018,6568,8.738,10.462,41.228,44.734,49.704,1350,4.507,9.913
23320565T,25.959,44.734,37.899,6.834,16506,15.702,11.617,25.736,44.734,37.899,6.834,14171,18.852,11.567,27.313,44.734,39.763,2335,7.796,11.83
23320566F,28.335,44.734,39.763,8.698,13832,13.158,11.74,27.953,44.734,39.763,8.077,11962,15.914,11.706,30.776,44.734,41.627,1870,6.243,11.672
23320571F,25.543,44.734,39.763,4.97,6781,6.451,13.324,25.1,44.734,39.142,4.97,5978,7.953,13.226,28.84,44.734,43.491,803,2.681,13.593
27593407F,27.87,44.734,37.899,11.183,15435,14.683,9.964,27.633,44.734,37.899,11.183,13315,17.714,9.833,29.363,44.734,40.384,2120,7.078,10.632
27616976T,31.907,44.734,42.87,14.911,5935,5.646,10.55,31.222,44.734,42.248,14.911,5088,6.769,10.394,36.022,44.734,45.355,847,2.828,10.555
27616977T,30.775,44.734,41.006,15.532,5929,5.64,9.805,30.447,44.734,40.384,15.532,5069,6.744,9.731,32.708,44.734,42.248,860,2.871,10.018
737718829F,40.713,55.296,48.461,27.337,3154,3.0,8.295,40.486,55.296,48.461,27.337,2841,3.78,8.111,42.779,55.296,51.568,313,1.045,9.574
737718829T,40.16,55.296,47.84,26.095,2945,2.802,8.278,39.837,55.296,47.84,26.095,2686,3.573,8.103,43.507,55.296,52.189,259,0.865,9.29
737718830F,38.694,55.296,46.598,24.231,3577,3.403,8.535,38.497,55.296,46.598,23.609,3247,4.32,8.552,40.628,55.296,47.84,330,1.102,8.128
737718830T,38.684,55.296,45.976,26.095,3339,3.176,7.767,38.468,55.296,45.976,25.473,3056,4.066,7.74,41.016,55.296,47.84,283,0.945,7.697
775719628F,30.174,44.734,39.453,14.911,13716,13.048,9.187,29.675,44.734,38.521,14.911,11832,15.741,8.994,33.308,44.734,42.87,1884,6.29,9.752
775719629F,27.949,44.734,37.899,11.805,13850,13.175,9.767,27.758,44.734,37.278,11.805,11894,15.823,9.639,29.112,44.734,39.763,1956,6.53,10.439
775719631T,30.809,44.734,41.006,14.29,15622,14.861,9.93,30.457,44.734,40.384,14.29,13562,18.042,9.72,33.131,44.734,44.112,2060,6.878,10.936
775719632T,30.403,44.734,40.384,14.29,15780,15.011,9.714,29.942,44.734,39.763,13.669,13688,18.21,9.626,33.422,44.734,42.87,2092,6.985,9.746
799468412F,25.784,44.734,36.657,7.456,13326,12.677,10.917,25.784,44.734,36.657,7.456,11389,15.151,10.896,25.785,44.734,37.278,1937,6.467,11.042
918450070T,32.834,44.734,42.87,15.222,8029,7.638,10.173,32.647,44.734,42.87,14.911,6951,9.247,10.046,34.038,44.734,45.044,1078,3.599,10.889
918450071T,36.118,44.734,45.355,19.26,8278,7.875,9.323,35.822,44.734,44.734,19.26,7146,9.507,9.276,37.982,44.734,47.219,1132,3.779,9.406
918450072F,34.941,44.734,45.355,17.396,9084,8.642,9.942,34.743,44.734,44.734,17.396,7829,10.415,9.912,36.177,44.734,45.976,1255,4.19,10.041
