LINK_DIR,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
107030470F,39.422,48.461,21.746,12911,12.282,9.675,39.19,47.84,21.124,11168,15.267,9.688,40.93,49.083,1617,5.399,9.472,38.849,42.87,47.84,21.124,10252,24.025,9.694,40.215,20.503,40.215,2022,22.113,10.357,40.769,23.609,40.769,5219,28.538,8.782,33.913,18.639,33.913,2435,26.629,9.1,1.108,2.149,1.215,2.358,0.941,1.097,1.895,1.188,2.053,0.728,1.292,2.4,1.274,2.367,0.858,1.221,2.394,1.189,2.053,1.264,2.3,1.112,2.182,1.221,2.394,1.082,1.868,1.189,2.053,1.081,1.967,1.264,2.3
107030471F,40.975,49.083,24.852,13130,12.49,8.662,40.615,48.461,24.852,11379,15.555,8.658,43.396,50.947,1620,5.409,8.235,40.303,43.491,48.461,24.231,10445,24.477,8.664,40.253,21.124,40.253,2121,23.196,10.156,41.311,26.716,41.311,5245,28.68,8.114,38.317,24.231,38.317,2524,27.603,8.211,1.102,2.057,1.224,2.286,0.867,1.077,1.674,1.182,1.837,0.554,1.148,1.846,1.212,1.949,0.608,1.219,2.324,1.181,1.826,1.208,1.91,1.111,2.118,1.219,2.324,1.068,1.651,1.181,1.826,1.086,1.718,1.208,1.91
107030473T,40.472,49.083,21.746,13858,13.183,9.47,40.758,49.083,22.367,11989,16.389,9.415,38.298,47.219,1742,5.816,9.563,40.988,45.355,49.083,22.367,10178,23.852,9.435,37.728,20.503,37.728,1785,19.521,9.333,42.241,26.095,42.241,4930,26.958,8.572,40.808,19.882,40.808,2747,30.042,10.071,1.183,2.182,1.232,2.273,0.845,1.069,1.756,1.173,1.927,0.643,1.11,2.323,1.218,2.548,1.092,1.235,2.273,1.169,1.893,1.203,2.469,1.103,2.03,1.235,2.273,1.074,1.738,1.169,1.893,1.111,2.281,1.203,2.469
107030474F,39.509,48.461,21.124,12949,12.318,9.858,39.243,48.461,20.503,11218,15.335,9.892,41.27,49.704,1604,5.355,9.429,38.937,43.18,47.84,20.503,10284,24.1,9.893,39.415,18.639,39.415,2067,22.605,11.07,40.482,22.367,40.482,5209,28.483,9.214,35.184,18.639,35.184,2435,26.629,9.47,1.127,2.4,1.252,2.667,1.129,1.102,2.0,1.194,2.167,0.815,1.248,2.4,1.265,2.433,0.923,1.245,2.633,1.197,2.167,1.271,2.4,1.135,2.4,1.245,2.633,1.09,1.972,1.197,2.167,1.095,2.067,1.271,2.4
107030476F,36.923,47.219,19.26,13787,13.115,10.113,36.747,46.598,19.26,11882,16.243,10.026,37.831,49.083,1760,5.876,10.6,36.308,39.763,46.598,19.26,10911,25.569,9.961,34.995,14.29,34.995,2306,25.219,11.759,36.711,21.746,36.711,5433,29.708,9.37,36.863,20.503,36.863,2598,28.412,9.287,1.262,3.13,1.332,3.304,1.481,1.212,2.087,1.279,2.203,0.722,1.222,2.182,1.255,2.242,0.786,1.332,3.261,1.269,2.143,1.235,2.221,1.136,2.783,1.332,3.261,1.083,1.829,1.269,2.143,1.096,1.97,1.235,2.221
107030477T,32.665,42.87,13.979,19564,18.611,10.355,32.613,42.87,13.669,16437,22.47,10.323,32.618,43.491,2906,9.702,10.475,32.011,35.414,42.87,13.047,13894,32.56,10.479,30.457,11.805,30.457,2469,27.001,10.78,33.277,16.154,33.277,6695,36.609,9.557,29.941,10.873,29.941,3559,38.922,11.334,1.452,3.789,1.351,3.526,1.61,1.364,2.769,1.307,2.654,1.031,1.477,4.0,1.395,3.778,1.708,1.346,3.474,1.288,2.654,1.411,3.886,1.122,2.895,1.346,3.474,1.083,2.231,1.288,2.654,1.133,3.12,1.411,3.886
107030483F,31.935,42.87,13.358,14671,13.956,10.833,31.031,41.938,13.047,12514,17.107,10.644,37.197,47.032,2012,6.717,10.401,30.46,33.55,41.006,12.426,11521,26.999,10.465,33.231,14.911,33.231,1813,19.827,10.598,31.711,13.669,31.711,6102,33.366,10.004,25.136,9.941,25.136,2895,31.66,9.536,1.337,3.0,1.318,2.958,1.244,1.379,3.186,1.303,3.009,1.31,1.676,4.472,1.42,3.789,1.668,1.309,2.917,1.313,3.045,1.384,3.5,1.103,2.458,1.309,2.917,1.097,2.545,1.313,3.045,1.075,2.719,1.384,3.5
107030484F,30.458,41.627,12.426,14400,13.699,10.87,29.52,40.384,12.426,12303,16.818,10.712,35.989,44.112,1959,6.54,10.064,28.998,32.308,39.763,11.805,11393,26.699,10.569,28.879,12.426,28.879,1829,20.002,10.835,30.279,13.047,30.279,5962,32.601,10.469,25.732,9.941,25.732,2851,31.179,9.932,1.519,3.6,1.382,3.275,1.37,1.44,3.429,1.34,3.191,1.382,1.65,4.364,1.398,3.697,1.645,1.377,3.2,1.344,3.119,1.352,3.5,1.097,2.55,1.377,3.2,1.129,2.619,1.344,3.119,1.087,2.812,1.352,3.5
107030485T,30.712,41.627,12.426,15690,14.926,10.361,29.904,40.384,11.805,13497,18.451,10.18,35.635,45.355,2028,6.771,10.08,28.727,31.686,39.142,11.183,11318,26.523,10.089,29.127,12.426,29.127,2325,25.427,9.905,29.158,12.426,29.158,5637,30.823,9.687,26.164,8.698,26.164,2561,28.007,10.901,1.51,3.429,1.342,3.048,1.271,1.489,3.445,1.355,3.134,1.313,1.633,4.8,1.451,4.266,1.94,1.344,3.15,1.357,3.185,1.472,4.429,1.088,2.55,1.344,3.15,1.108,2.6,1.357,3.185,1.116,3.357,1.472,4.429
107030486T,24.373,35.414,8.698,15577,14.818,10.463,24.26,34.793,8.698,13314,18.2,10.363,24.823,36.035,2107,7.035,11.015,23.057,25.473,32.929,8.077,11174,26.186,9.876,24.611,9.941,24.611,2062,22.55,10.347,23.435,8.698,23.435,5556,30.381,9.144,20.841,6.524,20.841,2734,29.899,10.553,1.786,4.5,1.414,3.562,1.52,1.897,4.965,1.381,3.614,1.617,2.144,6.857,1.54,4.924,2.197,1.414,3.5,1.379,3.714,1.55,4.952,1.06,2.625,1.414,3.5,1.1,2.964,1.379,3.714,1.103,3.524,1.55,4.952
